scraper      team           keyword          time                        number          
bingScraper  Oakbourne  trade school plumbing  2017-07-28 20:39:09.970669  page: 10
bingScraper  Oakbourne  trade school plumbing  2017-07-28 20:49:03.892592  page: 7
bingScraper  Oakbourne  trade school plumbing  2017-07-28 20:56:38.111572  page: 5
bingScraper  Oakbourne  trade school plumbing  2017-07-28 20:58:11.576612  page: 10
bingScraper  Oakbourne  trade school plumbing  2017-07-28 21:00:52.066407  page: 3
bingScraper  Oakbourne  plumbing courses certification  2017-07-28 21:33:37.532882  page: 10
bingScraper  Crescent Peak  "association management companies services"  2017-08-01 14:13:03.544501  page: 10
bingScraper  Crescent Peak  "refrigerated storage companies warehouse"  2017-08-01 14:14:24.938268  page: 10
bingScraper  Crescent Peak  Medical waste disposal and treatment services  2017-08-01 14:18:17.209491  page: 10
bingScraper  Crescent Peak   Material and product testing service companies  2017-08-01 14:18:22.701722  page: 10
bingScraper  Crescent Peak  association management companies services  2017-08-01 14:18:25.300375  page: 10
bingScraper  Crescent Peak  refrigerated storage companies warehouse  2017-08-01 14:18:26.538501  page: 10
bingScraper  Crescent Peak  association management companies services  2017-08-01 14:43:44.583818  page: 10
bingScraper  Crescent Peak  association management companies services  2017-08-01 15:25:10.893607  page: 10
bingScraper  Crescent Peak  Material and product testing service companies  2017-08-01 15:50:31.226396  page: 10
bingScraper  Crescent Peak  Material and product testing service companies  2017-08-01 16:00:43.702627  page: 10
bingScraper  Crescent Peak  association management companies services  2017-08-01 16:58:07.939904  page: 10
bingScraper  Crescent Peak  association management companies services  2017-08-01 17:40:15.737116  page: 10
bingScraper  Crescent Peak  refrigerated storage companies warehouse  2017-08-01 18:18:54.559944  page: 10
bingScraper  Crescent Peak  refrigerated storage companies warehouse  2017-08-01 18:23:52.020102  page: 10
bingScraper  Crescent Peak  refrigerated storage companies warehouse  2017-08-01 19:01:39.099862  page: 10
bingScraper  Oakbourne  infrared thermal inspection services  2017-08-01 19:26:12.754154  page: 4
